Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
Ford,F-150,"11,918 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$25,290 "
Nissan,Titan,93 miles,2019,White,Black,"No accidents, 1 Owner, Personal use","$38,962 "
Nissan,Titan,"167,325 miles",2010,Gray,Black,"No accidents, 2 Owners, Personal use","$11,999 "
Chevrolet,Silverado 1500,"14,446 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"9,828 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$23,990 "
Chevrolet,Colorado,"166,488 miles",2008,Black,Black,"No accidents, 3 Owners, Personal use","$9,599 "
Ram,1500,"17,268 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"27,691 miles",2018,Black,Gray,"1 accident, Personal use","$24,984 "
Chevrolet,Silverado 1500,"93,589 miles",2014,White,Black,"No accidents, 3 Owners, Personal use","$18,995 "
Ram,1500,"81,567 miles",2015,Silver,Gray,"No accidents, 2 Owners, Personal use","$16,995 "
Ford,F-150,"117,973 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$27,975 "
Ford,F-150,"14,320 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$27,990 "
Toyota,Tundra,"51,492 miles",2017,Red,Gray,"1 accident, 3 Owners, Personal use","$29,995 "
Ford,F-150,"24,664 miles",2017,Silver,Black,"No accidents, 1 Owner, Fleet use","$33,590 "
Ram,1500 Classic,"13,100 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$30,990 "
Ford,F-150,"118,795 miles",2006,Blue,Beige,"No accidents, 2 Owners, Personal use","$12,994 "
Ram,1500 Classic,"12,253 miles",2019,White,Black,"No accidents, 1 Owner, Fleet use","$29,990 "
Mercedes-Benz,Sprinter Chassis Cabs,21 miles,2019,White,Black,"No accidents, 1 Owner, Personal use","$37,000 "
Ford,F-150,"21,337 miles",2019,White,Gray,"No accidents, 2 Owners, Personal use","$35,990 "
Ford,Super Duty F-250,"19,549 miles",2019,Silver,Black,"1 accident, 2 Owners, Personal use","$40,795 "
Ford,F-150,"12,256 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$24,990 "
Toyota,Tacoma,"11,729 miles",2019,Silver,Black,"No accidents, 2 Owners, Personal use","$32,990 "
Ford,F-150,"14,419 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$24,590 "
Ford,F-150,"15,045 miles",2018,Black,Black,"1 accident, 1 Owner, Personal use","$45,938 "
